departamento;target;2019;2020;2021;2022;2023;2024;2025;Total
1;0;79,04;69,35;82,72;81,46;80,94;78,52;78,08;78,4
1;1;20,96;30,65;17,28;18,54;19,06;21,48;21,92;21,6
2;0;80,19;67,26;81,98;78,8;77,11;75,5;75,88;76,37
2;1;19,81;32,74;18,02;21,2;22,89;24,5;24,12;23,63
3;0;85,62;75,47;88,64;86,25;84,72;82,7;83,65;83,68
3;1;14,37;24,53;11,36;13,75;15,28;17,3;16,35;16,32
4;0;76,1;60,66;74,47;71,85;71,59;70,24;71,74;70,58
4;1;23,9;39,34;25,53;28,15;28,41;29,76;28,26;29,42
5;0;75,32;68,29;74,81;71,25;71,64;70,39;70,14;71,6
5;1;24,68;31,71;25,19;28,75;28,36;29,61;29,86;28,4
6;0;81,47;76,7;85,47;82,37;81,43;79,79;80,35;81,01
6;1;18,53;23,3;14,53;17,63;18,57;20,21;19,65;18,99
7;0;78,04;60,7;72,9;75,7;79,11;77,1;77,62;73,95
7;1;21,96;39,3;27,1;24,3;20,89;22,9;22,38;26,05
8;0;76,3;65,38;76,63;74,5;73,82;69,69;69,81;72,09
8;1;23,7;34,62;23,37;25,5;26,18;30,31;30,19;27,91
9;0;76,67;76,37;79,63;75,42;75,49;75,13;76,58;76,44
9;1;23,33;23,63;20,37;24,58;24,51;24,87;23,42;23,56
10;0;76,97;65,22;80,06;79,14;75,76;76,04;75,26;75,18
10;1;23,03;34,78;19,94;20,86;24,24;23,96;24,74;24,82
11;0;86,26;66,89;83,9;82,25;82,58;81,92;81,99;80,35
11;1;13,74;33,11;16,1;17,75;17,42;18,08;18,01;19,65
12;0;81,06;67,61;83,8;82,26;80,07;80,11;79,09;78,8
12;1;18,94;32,39;16,2;17,74;19,93;19,89;20,91;21,2
13;0;82,12;60,23;82,07;79,51;76,49;76,95;79,71;75,92
13;1;17,88;39,77;17,93;20,49;23,51;23,05;20,29;24,08
14;0;87,82;77,45;87,55;86,15;85,89;81,38;85,35;84,36
14;1;12,18;22,55;12,45;13,85;14,11;18,62;14,65;15,64
15;0;75,74;56,45;73,97;74,02;72,98;73,6;73,53;70,87
15;1;24,26;43,55;26,03;25,98;27,02;26,4;26,47;29,13
16;0;79,74;62,93;79,45;79,46;77,81;76,95;78,31;75,79
16;1;20,26;37,07;20,55;20,54;22,19;23,05;21,69;24,21
17;0;74,31;55,33;71,05;68,18;71,63;74,44;75,66;69,4
17;1;25,69;44,67;28,95;31,82;28,37;25,56;24,34;30,6
18;0;72,41;61,47;74,96;75,61;73,57;67,67;70,45;70,55
18;1;27,59;38,53;25,04;24,39;26,43;32,33;29,55;29,45
19;0;82,16;67,67;78,41;80,27;75,04;71,9;73,47;75,26
19;1;17,84;32,33;21,59;19,73;24,96;28,1;26,53;24,74
20;0;85,05;68,52;86,95;84,19;84,91;83,26;84,57;81,95
20;1;14,95;31,48;13,05;15,81;15,09;16,74;15,43;18,05
21;0;66,74;53,26;61,68;62,9;59,79;59,64;55,36;59,69
21;1;33,26;46,74;38,32;37,1;40,21;40,36;44,64;40,31
22;0;78,95;68,54;82,04;81,64;79,95;80,32;80,61;78,67
22;1;21,05;31,46;17,96;18,36;20,05;19,68;19,39;21,33
23;0;74,85;57,01;70,27;71,29;66,79;67,64;65,22;67,17
23;1;25,15;42,99;29,73;28,71;33,21;32,36;34,78;32,83
24;0;83,89;70,39;85,79;83,92;84,8;82,79;79,98;81,38
24;1;16,11;29,61;14,21;16,08;15,2;17,21;20,02;18,62
25;0;81,68;71,38;83,8;82,15;81,06;79,53;79,3;79,64
25;1;18,32;28,62;16,2;17,85;18,94;20,47;20,7;20,36
Total;;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
